RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,69,-8,5,138.0,30,0,0,97.0,23,6,6,0,1,20.0,0,4,3,40.0,38.0,12,2,3,74.0
Bad,73,94,1,41.0,13,0,0,100.0,-7,7,8,21,5,67.0,-7,3,3,0.0,97.0,1,3,-8,67.0
Bad,67,166,17,65.0,14,0,0,100.0,-7,7,8,14,0,36.0,-7,1,1,66.0,58.0,7,4,3,92.0
Bad,85,198,39,132.0,5,0,0,100.0,-7,7,8,5,0,60.0,0,0,0,26.0,-8.0,1,1,0,100.0
Good,70,203,3,68.0,20,1,1,80.0,14,6,4,25,3,40.0,0,0,0,43.0,10.0,7,3,1,79.0
Bad,61,30,2,43.0,14,1,0,88.0,2,3,5,3,3,38.0,-7,0,0,44.0,86.0,4,2,1,50.0
Bad,65,68,2,36.0,18,0,0,95.0,50,6,6,19,6,53.0,-7,2,2,71.0,75.0,5,4,0,90.0
Good,85,351,3,100.0,23,0,0,100.0,-7,7,8,46,3,13.0,-8,0,0,3.0,-8.0,4,-8,1,50.0
Bad,70,147,6,51.0,17,0,0,100.0,-7,7,8,17,3,59.0,-7,0,0,50.0,91.0,3,3,1,67.0
Good,77,266,2,69.0,12,0,0,100.0,-7,6,7,14,4,46.0,0,5,5,73.0,59.0,4,3,1,78.0
Bad,81,268,6,83.0,12,1,1,92.0,70,6,4,15,4,23.0,-7,0,0,19.0,-8.0,2,1,1,33.0
Good,72,403,31,180.0,23,0,0,87.0,56,6,6,23,0,17.0,0,1,1,53.0,-8.0,9,1,3,83.0
Good,80,49,7,27.0,7,0,0,100.0,-7,7,8,7,1,71.0,1,1,1,0.0,82.0,0,1,0,33.0
Bad,66,124,1,54.0,20,0,0,95.0,36,6,6,21,2,5.0,3,4,4,54.0,-8.0,7,-8,2,64.0
Good,72,111,4,32.0,21,0,0,100.0,-7,7,8,21,3,24.0,21,0,0,50.0,100.0,5,2,2,57.0
Good,71,207,14,147.0,26,0,0,89.0,8,4,6,28,0,36.0,-7,0,0,1.0,-8.0,3,2,0,64.0
Bad,88,188,3,73.0,16,0,0,100.0,-7,7,8,16,2,25.0,0,0,0,6.0,-8.0,2,1,0,43.0
Bad,89,327,25,167.0,7,0,0,100.0,-7,7,8,8,0,14.0,0,2,2,0.0,-8.0,1,-8,0,33.0
Bad,82,295,40,116.0,5,0,0,100.0,-7,7,8,5,0,40.0,6,0,0,58.0,-8.0,1,1,0,67.0
Bad,70,288,8,69.0,30,0,0,100.0,-7,7,8,30,2,20.0,0,1,1,31.0,94.0,5,2,2,39.0
Bad,55,223,23,107.0,12,2,1,79.0,2,4,5,15,0,36.0,0,0,0,86.0,50.0,4,3,2,100.0
Good,91,-8,7,97.0,19,0,0,100.0,-7,7,8,0,1,47.0,-7,1,1,0.0,-8.0,2,1,0,75.0
Good,72,157,5,60.0,37,0,0,97.0,0,4,6,32,4,19.0,10,0,0,7.0,-8.0,4,1,0,45.0
Good,87,180,1,55.0,12,0,0,100.0,-7,7,8,13,2,46.0,16,0,0,8.0,100.0,1,2,0,38.0
Bad,66,188,5,77.0,7,1,0,75.0,48,6,5,8,1,25.0,5,0,0,99.0,-8.0,1,-8,-8,100.0
Bad,62,49,9,30.0,7,0,0,86.0,14,6,6,7,1,29.0,-7,2,2,89.0,104.0,2,2,1,80.0
Bad,84,230,8,66.0,13,0,0,100.0,-7,7,8,13,2,15.0,8,0,0,14.0,-8.0,1,1,0,33.0
Good,73,153,3,75.0,46,0,0,100.0,-7,7,8,46,8,17.0,1,2,2,38.0,89.0,3,5,2,44.0
Good,74,206,5,88.0,47,0,0,98.0,-8,6,6,49,2,22.0,23,0,0,39.0,69.0,6,3,2,45.0
Good,86,136,7,82.0,11,0,0,100.0,-7,7,8,11,1,9.0,-7,1,1,6.0,-8.0,2,-8,0,50.0
Good,61,132,1,53.0,31,1,1,91.0,37,0,6,42,6,24.0,3,3,3,32.0,72.0,4,2,2,50.0
Good,77,138,3,105.0,13,1,1,93.0,39,6,2,21,2,21.0,2,2,2,1.0,-8.0,1,1,0,33.0
Bad,71,150,3,56.0,19,0,0,100.0,-7,7,8,21,5,24.0,0,1,1,62.0,62.0,4,1,3,63.0
Good,64,181,2,68.0,17,2,0,82.0,8,3,5,22,3,55.0,5,0,0,37.0,78.0,2,2,1,57.0
Good,80,233,3,106.0,28,0,0,97.0,2,4,6,30,4,37.0,2,3,3,4.0,98.0,4,2,0,86.0
Good,66,132,3,36.0,34,0,0,100.0,-7,7,8,34,3,26.0,10,0,0,66.0,81.0,21,4,5,96.0
Bad,73,489,3,63.0,29,0,0,93.0,21,6,6,27,3,47.0,0,2,2,31.0,80.0,2,4,1,46.0
Good,81,442,152,245.0,10,0,0,100.0,-7,7,8,10,0,0.0,-8,0,0,41.0,-8.0,7,-8,1,88.0
Bad,69,57,4,37.0,14,0,0,100.0,-7,7,8,14,1,50.0,0,4,4,52.0,152.0,6,7,2,100.0
Bad,57,321,2,75.0,11,0,0,75.0,8,4,6,12,1,17.0,1,1,1,102.0,-8.0,6,1,5,100.0
Good,87,210,20,97.0,16,0,0,100.0,-7,7,8,16,0,25.0,-8,0,0,19.0,-8.0,3,1,0,50.0
Bad,74,169,6,79.0,57,0,0,100.0,-7,7,8,31,4,39.0,12,0,0,61.0,93.0,5,4,1,82.0
Good,85,251,3,66.0,56,0,0,100.0,-7,7,8,61,4,26.0,0,4,4,1.0,-8.0,7,1,0,36.0
Bad,57,342,7,57.0,17,0,0,88.0,4,4,6,17,3,82.0,-7,2,0,99.0,45.0,2,4,1,100.0
Bad,60,151,32,79.0,8,2,0,80.0,5,3,5,10,0,10.0,0,0,0,112.0,-8.0,3,-8,1,60.0
Good,73,256,2,90.0,23,0,0,100.0,-7,7,8,24,4,17.0,0,1,0,49.0,78.0,11,3,4,70.0
Bad,79,104,52,71.0,2,0,0,100.0,-7,7,8,3,0,0.0,0,0,0,21.0,-8.0,1,-8,-8,100.0
Bad,62,295,21,124.0,10,2,2,64.0,16,6,2,14,0,36.0,20,0,0,38.0,30.0,3,3,0,86.0
Good,79,140,5,66.0,13,0,0,100.0,-7,7,8,13,1,23.0,18,0,0,37.0,92.0,1,2,1,80.0
Good,65,221,11,77.0,42,0,0,95.0,34,6,6,42,2,60.0,-8,0,0,71.0,68.0,6,9,3,94.0
Good,64,224,2,89.0,36,1,1,87.0,7,4,6,41,3,38.0,0,8,7,76.0,24.0,4,6,2,71.0
Bad,62,322,1,40.0,16,1,0,94.0,23,6,5,28,5,44.0,-7,4,4,31.0,84.0,7,4,1,85.0
Bad,83,282,17,70.0,19,0,0,100.0,-7,7,8,19,0,32.0,0,0,0,5.0,34.0,3,2,0,56.0
Good,82,184,3,77.0,28,0,0,100.0,-7,7,8,29,2,31.0,0,1,1,6.0,92.0,4,2,0,88.0
Bad,58,381,3,77.0,23,3,2,76.0,8,0,2,25,2,28.0,-7,0,0,29.0,82.0,5,4,0,69.0
Good,67,114,5,52.0,13,1,0,67.0,30,6,5,15,2,13.0,5,0,0,69.0,33.0,4,2,2,86.0
Good,91,278,32,131.0,33,0,0,100.0,-7,7,8,26,0,14.0,-8,0,0,5.0,-8.0,2,1,0,33.0
Bad,-9,92,82,87.0,2,0,0,100.0,-7,9,8,2,0,50.0,-7,0,0,-8.0,-8.0,-8,-8,-8,-8.0
Good,84,264,2,87.0,19,0,0,100.0,-7,7,8,20,2,35.0,0,3,3,14.0,94.0,2,2,1,36.0
Good,65,130,6,68.0,25,3,2,89.0,29,5,4,29,1,43.0,0,1,1,46.0,56.0,8,3,2,85.0
Good,81,190,6,84.0,21,0,0,100.0,-7,7,8,21,2,29.0,7,0,0,8.0,91.0,5,2,0,88.0
Good,84,178,3,65.0,30,0,0,100.0,-7,7,8,36,5,47.0,6,0,0,12.0,-8.0,3,1,0,44.0
Bad,56,95,2,24.0,15,0,0,100.0,-7,7,8,19,4,44.0,4,1,1,73.0,87.0,5,6,2,85.0
Bad,61,272,1,70.0,8,1,1,78.0,20,5,6,10,4,22.0,0,9,9,22.0,65.0,3,2,0,63.0
Bad,67,278,22,87.0,4,0,0,33.0,1,4,6,6,0,33.0,0,1,0,34.0,17.0,2,2,0,67.0
Bad,69,82,13,57.0,15,5,4,67.0,23,6,2,21,0,71.0,5,2,2,6.0,66.0,1,2,-8,75.0
Good,52,30,4,16.0,23,1,0,96.0,4,3,5,24,7,8.0,1,2,2,35.0,-8.0,17,1,1,78.0
Good,66,153,17,73.0,24,0,0,88.0,10,4,6,26,0,50.0,0,0,0,37.0,77.0,6,3,0,83.0
Good,87,203,3,93.0,22,0,0,100.0,-7,7,8,23,2,22.0,0,0,0,4.0,67.0,5,2,0,47.0
Bad,59,129,15,75.0,2,1,1,50.0,6,4,4,4,0,50.0,0,0,0,58.0,65.0,1,2,-8,100.0
Bad,59,84,11,47.0,10,2,0,69.0,10,4,5,13,1,46.0,10,0,0,69.0,75.0,4,2,2,86.0
Bad,72,213,1,68.0,6,1,1,88.0,7,1,2,8,1,50.0,0,2,2,0.0,83.0,0,2,0,40.0
Good,80,162,5,58.0,41,0,0,98.0,-8,6,6,42,5,60.0,0,0,0,6.0,90.0,3,10,0,64.0
Good,82,156,21,84.0,12,0,0,100.0,-7,7,8,12,0,42.0,0,0,0,73.0,68.0,3,2,0,100.0
Bad,61,146,3,58.0,35,0,0,63.0,6,4,6,44,4,45.0,6,0,0,27.0,87.0,4,3,2,64.0
Good,77,268,51,51.0,1,0,0,100.0,-7,7,8,18,0,0.0,-8,1,0,8.0,-8.0,1,-8,-8,100.0
Good,84,233,4,72.0,23,0,0,100.0,-7,7,8,23,1,35.0,0,0,0,16.0,40.0,3,3,0,67.0
Bad,77,221,0,64.0,31,0,0,94.0,14,6,6,36,4,51.0,-7,1,0,9.0,88.0,3,6,0,45.0
Bad,68,79,8,75.0,40,1,1,95.0,1,0,2,9,3,44.0,8,0,0,5.0,87.0,4,6,0,61.0
Good,65,259,4,121.0,4,2,0,29.0,39,6,5,7,2,29.0,0,1,1,100.0,98.0,1,1,1,100.0
Bad,68,180,7,72.0,24,0,0,92.0,35,6,6,35,1,56.0,3,1,1,48.0,43.0,3,3,1,86.0
Good,63,104,3,42.0,13,3,3,87.0,29,0,3,15,3,40.0,-7,4,4,41.0,100.0,5,6,0,85.0
Bad,72,255,6,57.0,24,0,0,100.0,-7,7,8,24,6,46.0,-7,0,0,69.0,40.0,3,2,1,75.0
Good,71,142,10,65.0,22,0,0,100.0,-7,7,8,23,1,45.0,4,1,1,55.0,71.0,5,3,1,89.0
Bad,69,428,3,94.0,49,0,0,100.0,-7,7,8,23,3,8.0,0,4,4,50.0,-8.0,11,2,10,46.0
Bad,74,168,2,85.0,23,0,0,96.0,13,6,6,24,3,17.0,0,0,0,40.0,95.0,7,2,0,64.0
Good,84,227,19,104.0,26,0,0,96.0,64,6,6,27,0,15.0,-7,0,0,32.0,-8.0,4,1,0,56.0
Bad,79,409,8,113.0,18,0,0,100.0,-7,7,8,18,1,22.0,0,0,0,32.0,87.0,7,2,1,69.0
Bad,56,134,2,65.0,19,3,3,67.0,18,6,2,24,2,46.0,0,9,9,66.0,-8.0,2,1,2,60.0
Good,85,288,6,100.0,25,0,0,100.0,-7,7,8,25,2,24.0,0,0,0,10.0,57.0,3,2,0,50.0
Good,73,197,27,110.0,21,0,0,91.0,45,6,6,22,0,27.0,0,2,2,47.0,23.0,2,2,-8,57.0
Bad,59,302,10,137.0,24,2,1,88.0,2,4,5,39,1,32.0,1,2,2,50.0,75.0,3,4,0,70.0
Good,65,340,3,110.0,27,2,2,100.0,-7,6,8,26,2,30.0,0,3,3,58.0,46.0,11,3,5,83.0
Bad,83,414,14,108.0,30,0,0,100.0,-7,7,8,31,0,45.0,1,2,2,13.0,13.0,4,3,0,88.0
Good,67,404,19,133.0,17,0,0,100.0,-7,7,8,18,0,50.0,0,1,1,81.0,76.0,4,3,3,100.0
Bad,73,73,8,56.0,15,0,0,100.0,-7,7,8,4,1,47.0,-7,1,1,96.0,68.0,2,3,1,100.0
Bad,61,8,2,5.0,1,0,0,100.0,-7,7,8,2,2,50.0,0,2,2,92.0,-8.0,1,1,1,100.0
Bad,88,363,6,106.0,22,0,0,100.0,-7,7,8,23,1,36.0,5,2,2,1.0,68.0,5,3,0,62.0
Bad,72,174,3,55.0,21,0,0,95.0,65,6,6,22,3,36.0,-7,5,5,17.0,98.0,3,2,1,56.0
Good,75,104,2,34.0,17,0,0,100.0,-7,7,8,18,3,28.0,0,2,2,15.0,95.0,3,3,1,46.0
Good,77,156,1,73.0,20,1,0,91.0,15,6,5,23,4,48.0,5,1,1,11.0,64.0,3,5,0,67.0
Bad,82,203,2,79.0,30,0,0,100.0,-7,6,7,50,2,29.0,22,0,0,28.0,70.0,4,2,1,39.0
Good,91,450,29,196.0,12,0,0,100.0,-7,7,8,12,0,8.0,-8,0,0,6.0,-8.0,2,-8,0,67.0
Bad,60,12,5,9.0,2,0,0,100.0,-7,7,8,2,1,100.0,0,6,5,-8.0,97.0,-8,2,-8,100.0
Good,75,160,3,85.0,20,1,0,91.0,10,3,5,25,1,16.0,0,0,0,2.0,28.0,5,2,0,58.0
Good,87,230,6,96.0,27,0,0,100.0,-7,7,8,28,3,11.0,15,0,0,2.0,-8.0,3,1,0,24.0
Bad,70,145,1,11.0,8,0,0,100.0,-7,7,8,8,4,30.0,1,4,4,28.0,-8.0,2,1,0,43.0
Bad,63,285,12,57.0,17,1,1,82.0,21,6,6,23,0,35.0,0,4,4,67.0,87.0,5,4,2,82.0
Good,74,155,12,65.0,40,0,0,98.0,33,6,6,46,0,21.0,2,1,1,63.0,86.0,2,2,1,67.0
Bad,58,254,9,142.0,31,2,2,82.0,25,6,6,33,1,67.0,0,5,5,61.0,33.0,2,4,1,88.0
Good,70,76,6,37.0,22,0,0,100.0,-7,7,8,23,2,26.0,0,1,1,28.0,41.0,9,2,1,79.0
Good,75,-8,4,49.0,17,0,0,100.0,-7,7,8,19,2,26.0,-7,1,1,100.0,57.0,1,2,1,50.0
Bad,81,137,9,66.0,34,0,0,100.0,-7,7,8,34,1,62.0,0,1,1,24.0,92.0,3,4,0,78.0
Good,71,-8,7,74.0,33,0,0,94.0,47,6,6,0,2,30.0,7,0,0,21.0,60.0,5,3,1,50.0
Good,79,94,5,52.0,25,0,0,100.0,-7,7,8,25,2,16.0,5,2,2,10.0,78.0,5,2,0,50.0
Good,72,210,7,76.0,25,0,0,92.0,23,6,6,25,3,40.0,0,3,3,25.0,79.0,3,3,1,50.0
Good,84,260,12,125.0,15,0,0,100.0,-7,7,8,15,0,40.0,5,1,1,29.0,-8.0,2,1,0,60.0
Good,68,158,2,63.0,42,1,1,91.0,4,4,4,47,5,40.0,0,2,2,5.0,62.0,4,4,0,57.0
Bad,67,188,12,92.0,24,2,0,75.0,45,6,5,32,0,59.0,10,0,0,60.0,-8.0,5,1,0,75.0
Good,85,342,64,140.0,10,0,0,100.0,-7,7,8,10,0,60.0,0,0,0,18.0,-8.0,2,-8,0,67.0
Bad,69,274,2,73.0,44,1,1,93.0,40,6,6,47,3,43.0,0,6,6,28.0,95.0,8,6,2,58.0
Good,70,76,1,36.0,19,0,0,100.0,-7,7,8,20,3,25.0,0,2,2,31.0,42.0,5,2,1,64.0
Bad,75,199,5,73.0,37,0,0,97.0,77,6,6,39,4,16.0,0,2,2,25.0,-8.0,6,2,2,50.0
Good,88,251,15,89.0,21,0,0,100.0,-7,7,8,21,0,48.0,-7,0,0,3.0,0.0,2,2,0,57.0
Good,91,278,29,123.0,17,0,0,100.0,-7,7,8,19,0,32.0,-8,0,0,1.0,-8.0,4,1,0,63.0
Bad,73,77,5,44.0,15,0,0,100.0,-7,7,8,15,1,67.0,14,0,0,68.0,77.0,3,4,2,100.0
Bad,74,131,8,46.0,21,0,0,96.0,47,6,6,24,3,54.0,1,1,1,30.0,106.0,1,9,-8,100.0
Good,76,320,5,151.0,26,0,0,96.0,12,6,6,24,3,38.0,4,1,1,23.0,16.0,6,2,0,75.0
Bad,66,344,4,102.0,16,1,1,79.0,45,6,3,19,3,26.0,4,1,1,54.0,45.0,4,2,1,70.0
Good,79,137,9,60.0,19,0,0,100.0,-7,7,8,20,1,40.0,0,0,0,24.0,-8.0,3,1,0,44.0
Good,78,165,7,52.0,8,0,0,100.0,-7,7,8,8,1,38.0,-7,1,1,53.0,91.0,2,2,0,80.0
Good,66,267,1,53.0,20,0,0,92.0,76,6,6,24,3,21.0,0,0,0,50.0,52.0,5,3,4,57.0
Bad,55,118,8,72.0,24,6,1,63.0,2,4,3,30,1,10.0,0,0,0,36.0,28.0,4,3,2,54.0
Bad,69,129,13,63.0,24,1,0,80.0,20,6,5,25,0,24.0,-7,0,0,51.0,71.0,4,3,2,53.0
Good,72,255,2,92.0,41,0,0,98.0,11,6,6,42,1,17.0,0,3,3,9.0,-8.0,9,-8,1,53.0
Bad,76,109,3,58.0,45,0,0,96.0,30,6,6,46,3,15.0,0,1,1,6.0,-8.0,8,1,1,33.0
Good,70,132,1,47.0,33,1,0,97.0,19,6,5,37,2,16.0,0,1,1,20.0,-8.0,11,-8,2,52.0
Good,63,148,12,93.0,14,1,0,67.0,7,4,5,15,0,47.0,0,1,1,73.0,34.0,3,2,0,100.0
Good,86,191,3,77.0,38,0,0,100.0,-7,7,8,40,3,58.0,5,0,0,6.0,-8.0,4,2,1,55.0
Bad,62,341,16,87.0,12,1,0,93.0,2,4,5,14,0,14.0,7,0,0,56.0,89.0,6,1,2,78.0
Bad,56,172,5,84.0,21,2,2,88.0,2,1,3,24,1,46.0,3,2,2,41.0,53.0,10,4,2,88.0
Good,73,121,9,64.0,33,0,0,100.0,-7,6,8,34,4,35.0,0,2,2,35.0,64.0,10,2,1,92.0
Good,87,57,18,215.0,12,0,0,100.0,-7,7,8,2,0,25.0,-8,0,0,0.0,73.0,1,1,0,29.0
Good,69,145,4,67.0,20,1,1,100.0,-7,6,8,20,1,25.0,0,4,4,44.0,54.0,4,2,1,86.0
Good,79,138,4,56.0,26,0,0,100.0,-7,7,8,27,3,19.0,-7,0,0,12.0,-8.0,4,2,0,70.0
Good,81,183,6,75.0,45,0,0,100.0,-7,7,8,45,4,44.0,0,0,0,34.0,95.0,1,4,0,40.0
Bad,62,193,3,78.0,15,2,2,100.0,-7,6,8,16,2,40.0,0,3,3,99.0,38.0,5,2,3,100.0
Bad,81,170,7,72.0,6,0,0,100.0,-7,7,8,6,1,0.0,0,0,0,19.0,-8.0,4,-8,1,67.0
Bad,73,148,0,47.0,24,0,0,93.0,6,4,6,34,9,43.0,-7,9,9,14.0,67.0,2,4,0,67.0
Bad,79,41,1,15.0,6,0,0,100.0,-7,7,8,8,2,25.0,0,2,2,1.0,64.0,1,2,0,38.0
Bad,63,121,4,66.0,13,1,1,75.0,4,0,2,7,2,38.0,-7,2,2,0.0,72.0,3,2,1,75.0
Good,80,305,16,154.0,17,0,0,100.0,-7,7,8,18,0,12.0,-7,2,2,25.0,-8.0,2,1,0,44.0
Good,85,176,3,71.0,29,0,0,100.0,-7,6,7,32,3,34.0,-7,4,4,1.0,-8.0,2,1,0,50.0
Good,87,147,1,69.0,8,0,0,100.0,-7,7,8,11,2,45.0,1,3,3,2.0,100.0,1,1,0,50.0
Good,73,138,2,80.0,39,0,0,100.0,-7,7,8,12,5,28.0,0,3,3,28.0,91.0,6,5,2,69.0
Good,79,30,13,22.0,2,0,0,100.0,-7,7,8,2,0,0.0,12,0,0,27.0,-8.0,1,-8,0,50.0
Bad,70,283,6,92.0,10,1,1,100.0,-7,6,8,10,2,0.0,-7,0,0,44.0,-8.0,3,-8,0,75.0
Bad,66,287,12,82.0,25,1,1,85.0,8,0,2,26,0,23.0,8,0,0,36.0,-8.0,7,1,2,47.0
Good,84,184,4,98.0,22,0,0,100.0,-7,7,8,23,1,57.0,0,3,2,6.0,-8.0,2,-8,0,50.0
Good,73,287,4,102.0,10,1,0,55.0,13,6,5,11,3,55.0,-7,2,2,30.0,65.0,2,2,0,67.0
Good,80,130,4,57.0,24,0,0,100.0,-7,7,8,24,3,38.0,4,1,1,41.0,43.0,3,3,0,46.0
Bad,60,142,18,82.0,12,3,2,59.0,5,4,4,18,0,47.0,0,2,2,2.0,19.0,1,2,-8,75.0
Good,72,181,11,77.0,22,0,0,96.0,9,4,6,23,1,48.0,0,4,4,31.0,45.0,3,4,0,78.0
Bad,78,353,6,108.0,50,0,0,98.0,15,6,6,54,2,31.0,0,0,0,44.0,71.0,8,3,4,55.0
Good,81,244,3,128.0,54,0,0,98.0,-8,6,6,56,3,41.0,0,4,4,25.0,97.0,6,3,0,90.0
Good,61,296,9,122.0,11,1,1,82.0,24,0,6,46,1,64.0,3,1,1,29.0,61.0,2,4,1,75.0
Good,92,421,42,161.0,17,0,0,100.0,-7,7,8,19,0,42.0,0,0,0,0.0,-8.0,1,-8,0,50.0
Bad,68,373,12,88.0,21,0,0,90.0,-8,5,6,21,0,19.0,0,4,4,50.0,-8.0,6,1,4,58.0
Good,92,255,10,78.0,7,0,0,100.0,-7,7,8,8,1,13.0,0,0,0,6.0,-8.0,1,-8,0,33.0
Good,65,150,5,47.0,24,1,1,84.0,11,4,3,36,1,28.0,0,2,2,51.0,93.0,7,2,1,69.0
Good,77,68,11,31.0,7,0,0,100.0,-7,7,8,7,2,14.0,0,4,3,0.0,-8.0,0,-8,0,0.0
Good,89,521,15,244.0,27,0,0,100.0,-7,7,8,30,0,19.0,-8,0,0,3.0,-8.0,3,1,0,33.0
Good,84,199,14,114.0,22,0,0,100.0,-7,6,7,22,0,36.0,7,0,0,11.0,33.0,6,2,0,57.0
Bad,56,177,13,92.0,32,0,0,81.0,7,4,6,37,0,49.0,-7,1,1,77.0,60.0,7,3,2,71.0
Bad,56,148,12,59.0,13,2,2,75.0,1,0,2,16,0,63.0,0,1,1,86.0,4.0,3,2,1,71.0
Good,89,209,1,96.0,22,0,0,100.0,-7,7,8,26,3,38.0,5,1,1,18.0,59.0,2,3,0,71.0
Good,70,434,79,207.0,5,1,1,100.0,-7,6,8,5,0,40.0,7,0,0,60.0,-8.0,2,-8,0,100.0
Good,82,171,3,84.0,26,0,0,96.0,22,6,6,27,2,44.0,4,2,2,3.0,48.0,2,4,0,54.0
Good,73,255,12,40.0,10,0,0,100.0,-7,7,8,35,0,30.0,-7,3,3,62.0,73.0,3,2,2,83.0
Bad,66,159,16,81.0,24,0,0,100.0,-7,7,8,25,0,12.0,0,1,1,81.0,-8.0,15,-8,9,83.0
Bad,78,102,7,63.0,10,0,0,100.0,-7,7,8,11,1,9.0,7,1,0,51.0,-8.0,1,1,0,50.0
Good,88,192,2,90.0,17,0,0,100.0,-7,7,8,18,1,33.0,1,2,2,9.0,66.0,2,2,0,44.0
Bad,73,94,5,37.0,34,0,0,97.0,55,6,6,21,4,29.0,4,1,1,9.0,85.0,6,3,0,47.0
Bad,58,538,15,114.0,19,4,4,65.0,7,4,2,23,0,48.0,0,1,1,58.0,91.0,4,3,1,88.0
Good,89,328,17,132.0,34,0,0,97.0,41,6,6,35,0,14.0,-8,0,0,1.0,-8.0,3,2,0,31.0
Good,82,253,21,93.0,38,0,0,100.0,-7,7,8,39,0,28.0,18,0,0,19.0,68.0,4,3,0,62.0
Good,82,300,32,117.0,22,0,0,100.0,-7,7,8,23,0,22.0,0,1,1,41.0,43.0,3,2,1,63.0
